branch,canonical_field,source_dataset,source_column,match_type,is_fuzzy,fallback_used
Network,flag_ack,Dataset_T-ITS_Seg1_Network,tcp.flags,FUZZY,True,NONE
Network,ttl_or_hops,Dataset_T-ITS_Seg1_Network,ip.ttl,FUZZY,True,NONE
Network,protocol_type,Dataset_T-ITS_Seg1_Network,ip.proto,FUZZY,True,NONE
Network,total_bytes,Dataset_T-ITS_Seg1_Network,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,Dataset_T-ITS_Seg1_Network,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,Dataset_T-ITS_Seg1_Network,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,Dataset_T-ITS_Seg3_Network,wlan.duration,FUZZY,True,NONE
Network,tx_packets,Dataset_T-ITS_Seg3_Network,frame.number,FUZZY,True,NONE
Network,rx_packets,Dataset_T-ITS_Seg3_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,Dataset_T-ITS_Seg3_Network,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,Dataset_T-ITS_Seg3_Network,frame.len,FUZZY,True,NONE
Network,rx_bytes,Dataset_T-ITS_Seg3_Network,data.len,FUZZY,True,NONE
Network,packet_rate,Dataset_T-ITS_Seg3_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg3_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg3_Network,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,Dataset_T-ITS_Seg3_Network,frame.len,FUZZY,True,NONE
Network,mean_delay,Dataset_T-ITS_Seg3_Network,time_since_last_packet,FUZZY,True,NONE
Network,mean_jitter,Dataset_T-ITS_Seg3_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,Dataset_T-ITS_Seg3_Network,wlan.frag,FUZZY,True,NONE
Network,flag_syn,Dataset_T-ITS_Seg3_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,Dataset_T-ITS_Seg3_Network,tcp.flags,FUZZY,True,NONE
Network,ttl_or_hops,Dataset_T-ITS_Seg3_Network,ip.ttl,FUZZY,True,NONE
Network,protocol_type,Dataset_T-ITS_Seg3_Network,ip.proto,FUZZY,True,NONE
Network,total_bytes,Dataset_T-ITS_Seg3_Network,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,Dataset_T-ITS_Seg3_Network,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,Dataset_T-ITS_Seg3_Network,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,Dataset_T-ITS_Seg5_Network,wlan.duration,FUZZY,True,NONE
Network,tx_packets,Dataset_T-ITS_Seg5_Network,frame.number,FUZZY,True,NONE
Network,rx_packets,Dataset_T-ITS_Seg5_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,Dataset_T-ITS_Seg5_Network,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,Dataset_T-ITS_Seg5_Network,frame.len,FUZZY,True,NONE
Network,rx_bytes,Dataset_T-ITS_Seg5_Network,data.len,FUZZY,True,NONE
Network,packet_rate,Dataset_T-ITS_Seg5_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg5_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg5_Network,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,Dataset_T-ITS_Seg5_Network,frame.len,FUZZY,True,NONE
Network,mean_delay,Dataset_T-ITS_Seg5_Network,time_since_last_packet,FUZZY,True,NONE
Network,mean_jitter,Dataset_T-ITS_Seg5_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,Dataset_T-ITS_Seg5_Network,wlan.frag,FUZZY,True,NONE
Network,flag_syn,Dataset_T-ITS_Seg5_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,Dataset_T-ITS_Seg5_Network,tcp.flags,FUZZY,True,NONE
Network,ttl_or_hops,Dataset_T-ITS_Seg5_Network,ip.ttl,FUZZY,True,NONE
Network,protocol_type,Dataset_T-ITS_Seg5_Network,ip.proto,FUZZY,True,NONE
Network,total_bytes,Dataset_T-ITS_Seg5_Network,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,Dataset_T-ITS_Seg5_Network,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,Dataset_T-ITS_Seg5_Network,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,Dataset_T-ITS_Seg7_Network,wlan.duration,FUZZY,True,NONE
Network,tx_packets,Dataset_T-ITS_Seg7_Network,frame.number,FUZZY,True,NONE
Network,rx_packets,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,Dataset_T-ITS_Seg7_Network,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,Dataset_T-ITS_Seg7_Network,frame.len,FUZZY,True,NONE
Network,rx_bytes,Dataset_T-ITS_Seg7_Network,data.len,FUZZY,True,NONE
Network,packet_rate,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg7_Network,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,Dataset_T-ITS_Seg7_Network,frame.len,FUZZY,True,NONE
Network,mean_delay,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,mean_jitter,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,Dataset_T-ITS_Seg7_Network,wlan.frag,FUZZY,True,NONE
Network,flag_syn,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,ttl_or_hops,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,protocol_type,Dataset_T-ITS_Seg7_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,total_bytes,Dataset_T-ITS_Seg7_Network,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,Dataset_T-ITS_Seg7_Network,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,Dataset_T-ITS_Seg7_Network,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,Dataset_T-ITS_Seg9_Network,wlan.duration,FUZZY,True,NONE
Network,tx_packets,Dataset_T-ITS_Seg9_Network,frame.number,FUZZY,True,NONE
Network,rx_packets,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,Dataset_T-ITS_Seg9_Network,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,Dataset_T-ITS_Seg9_Network,frame.len,FUZZY,True,NONE
Network,rx_bytes,Dataset_T-ITS_Seg9_Network,data.len,FUZZY,True,NONE
Network,packet_rate,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,Dataset_T-ITS_Seg9_Network,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,Dataset_T-ITS_Seg9_Network,frame.len,FUZZY,True,NONE
Network,mean_delay,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,mean_jitter,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,Dataset_T-ITS_Seg9_Network,wlan.frag,FUZZY,True,NONE
Network,flag_syn,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,ttl_or_hops,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,protocol_type,Dataset_T-ITS_Seg9_Network,N/A,MISSING,False,LEFT_AS_NAN
Network,total_bytes,Dataset_T-ITS_Seg9_Network,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,Dataset_T-ITS_Seg9_Network,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,Dataset_T-ITS_Seg9_Network,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,UAV-NDD_Case1,wlan.duration,FUZZY,True,NONE
Network,tx_packets,UAV-NDD_Case1,frame.number,FUZZY,True,NONE
Network,rx_packets,UAV-NDD_Case1,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,UAV-NDD_Case1,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,UAV-NDD_Case1,frame.len,FUZZY,True,NONE
Network,rx_bytes,UAV-NDD_Case1,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_bytes,UAV-NDD_Case1,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,packet_rate,UAV-NDD_Case1,radiotap.datarate,FUZZY,True,NONE
Network,byte_rate,UAV-NDD_Case1,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,UAV-NDD_Case1,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,UAV-NDD_Case1,frame.len,FUZZY,True,NONE
Network,mean_delay,UAV-NDD_Case1,frame.time_delta_displayed,FUZZY,True,NONE
Network,mean_jitter,UAV-NDD_Case1,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,UAV-NDD_Case1,wlan.fc.retry,FUZZY,True,NONE
Network,flag_syn,UAV-NDD_Case1,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,UAV-NDD_Case1,tcp.ack,FUZZY,True,NONE
Network,ttl_or_hops,UAV-NDD_Case1,ip.ttl,FUZZY,True,NONE
Network,protocol_type,UAV-NDD_Case1,ip.proto,FUZZY,True,NONE
Network,total_bytes,UAV-NDD_Case1,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,UAV-NDD_Case1,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,UAV-NDD_Case1,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,UAV-NDD_AccessPoint_Case2,wlan.duration,FUZZY,True,NONE
Network,tx_packets,UAV-NDD_AccessPoint_Case2,frame.number,FUZZY,True,NONE
Network,rx_packets,UAV-NDD_AccessPoint_Case2,N/A,MISSING,False,LEFT_AS_NAN
Network,rx_packets,UAV-NDD_AccessPoint_Case2,DERIVED(frame_unit=0.0),DERIVED,False,NONE
Network,tx_bytes,UAV-NDD_AccessPoint_Case2,frame.len,FUZZY,True,NONE
Network,rx_bytes,UAV-NDD_AccessPoint_Case2,data.len,FUZZY,True,NONE
Network,packet_rate,UAV-NDD_AccessPoint_Case2,radiotap.datarate,FUZZY,True,NONE
Network,byte_rate,UAV-NDD_AccessPoint_Case2,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,UAV-NDD_AccessPoint_Case2,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,UAV-NDD_AccessPoint_Case2,frame.len,FUZZY,True,NONE
Network,mean_delay,UAV-NDD_AccessPoint_Case2,frame.time_delta_displayed,FUZZY,True,NONE
Network,mean_jitter,UAV-NDD_AccessPoint_Case2,N/A,MISSING,False,LEFT_AS_NAN
Network,lost_packets,UAV-NDD_AccessPoint_Case2,wlan.fc.retry,FUZZY,True,NONE
Network,flag_syn,UAV-NDD_AccessPoint_Case2,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,UAV-NDD_AccessPoint_Case2,N/A,MISSING,False,LEFT_AS_NAN
Network,ttl_or_hops,UAV-NDD_AccessPoint_Case2,ip.ttl,FUZZY,True,NONE
Network,protocol_type,UAV-NDD_AccessPoint_Case2,ip.proto,FUZZY,True,NONE
Network,total_bytes,UAV-NDD_AccessPoint_Case2,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,UAV-NDD_AccessPoint_Case2,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,UAV-NDD_AccessPoint_Case2,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,UAV-NDD_GSC_Case3,flow_duration,EXACT,False,NONE
Network,tx_packets,UAV-NDD_GSC_Case3,fwd_pkts_tot,FUZZY,True,NONE
Network,rx_packets,UAV-NDD_GSC_Case3,bwd_pkts_tot,FUZZY,True,NONE
Network,tx_bytes,UAV-NDD_GSC_Case3,fwd_header_size_tot,FUZZY,True,NONE
Network,rx_bytes,UAV-NDD_GSC_Case3,bwd_header_size_tot,FUZZY,True,NONE
Network,packet_rate,UAV-NDD_GSC_Case3,fwd_pkts_per_sec,FUZZY,True,NONE
Network,byte_rate,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,UAV-NDD_GSC_Case3,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,mean_delay,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,mean_jitter,UAV-NDD_GSC_Case3,flow_iat.std,EXACT,False,NONE
Network,lost_packets,UAV-NDD_GSC_Case3,down_up_ratio,FUZZY,True,NONE
Network,flag_syn,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_ack,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,ttl_or_hops,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,protocol_type,UAV-NDD_GSC_Case3,N/A,MISSING,False,LEFT_AS_NAN
Network,total_bytes,UAV-NDD_GSC_Case3,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,UAV-NDD_GSC_Case3,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,UAV-NDD_GSC_Case3,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,CIC_IoT_Proxies,N/A,MISSING,False,LEFT_AS_NAN
Network,tx_packets,CIC_IoT_Proxies,syn_count,FUZZY,True,NONE
Network,rx_packets,CIC_IoT_Proxies,ack_count,FUZZY,True,NONE
Network,tx_bytes,CIC_IoT_Proxies,Tot size,EXACT,False,NONE
Network,rx_bytes,CIC_IoT_Proxies,Tot sum,EXACT,False,NONE
Network,packet_rate,CIC_IoT_Proxies,Rate,EXACT,False,NONE
Network,byte_rate,CIC_IoT_Proxies,N/A,MISSING,False,LEFT_AS_NAN
Network,byte_rate,CIC_IoT_Proxies,DERIVED((tx_bytes+rx_bytes)/dur),DERIVED,False,NONE
Network,mean_packet_size,CIC_IoT_Proxies,Header_Length,FUZZY,True,NONE
Network,mean_delay,CIC_IoT_Proxies,IAT,FUZZY,True,NONE
Network,mean_jitter,CIC_IoT_Proxies,Std,FUZZY,True,NONE
Network,lost_packets,CIC_IoT_Proxies,N/A,MISSING,False,LEFT_AS_NAN
Network,flag_syn,CIC_IoT_Proxies,syn_flag_number,FUZZY,True,NONE
Network,flag_ack,CIC_IoT_Proxies,ack_flag_number,FUZZY,True,NONE
Network,ttl_or_hops,CIC_IoT_Proxies,Time_To_Live,EXACT,False,NONE
Network,protocol_type,CIC_IoT_Proxies,Protocol Type,EXACT,False,NONE
Network,total_bytes,CIC_IoT_Proxies,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,CIC_IoT_Proxies,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,CIC_IoT_Proxies,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Network,flow_duration,CICIDS2017,Flow Duration,EXACT,False,NONE
Network,tx_packets,CICIDS2017,Total Fwd Packets,EXACT,False,NONE
Network,rx_packets,CICIDS2017,Total Backward Packets,EXACT,False,NONE
Network,tx_bytes,CICIDS2017,Total Length of Fwd Packets,EXACT,False,NONE
Network,rx_bytes,CICIDS2017,Total Length of Bwd Packets,EXACT,False,NONE
Network,packet_rate,CICIDS2017,Flow Packets/s,EXACT,False,NONE
Network,byte_rate,CICIDS2017,Flow Bytes/s,EXACT,False,NONE
Network,mean_packet_size,CICIDS2017,Packet Length Mean,EXACT,False,NONE
Network,mean_delay,CICIDS2017,Flow IAT Mean,EXACT,False,NONE
Network,mean_jitter,CICIDS2017,Flow IAT Std,EXACT,False,NONE
Network,lost_packets,CICIDS2017,Down/Up Ratio,FUZZY,True,NONE
Network,flag_syn,CICIDS2017,SYN Flag Count,EXACT,False,NONE
Network,flag_ack,CICIDS2017,ACK Flag Count,EXACT,False,NONE
Network,ttl_or_hops,CICIDS2017,N/A,MISSING,False,LEFT_AS_NAN
Network,protocol_type,CICIDS2017,Destination Port,FUZZY,True,NONE
Network,total_bytes,CICIDS2017,DERIVED(tx_bytes+rx_bytes),DERIVED,False,NONE
Network,total_packets,CICIDS2017,DERIVED(tx_packets+rx_packets),DERIVED,False,NONE
Network,packet_size_ratio,CICIDS2017,DERIVED(total_bytes/total_packets),DERIVED,False,NONE
Physical,pitch,Dataset_T-ITS_Seg2_Physical,pitch,EXACT,False,NONE
Physical,roll,Dataset_T-ITS_Seg2_Physical,roll,EXACT,False,NONE
Physical,yaw,Dataset_T-ITS_Seg2_Physical,yaw,EXACT,False,NONE
Physical,velocity_x,Dataset_T-ITS_Seg2_Physical,x_speed,FUZZY,True,NONE
Physical,velocity_y,Dataset_T-ITS_Seg2_Physical,y_speed,FUZZY,True,NONE
Physical,velocity_z,Dataset_T-ITS_Seg2_Physical,z_speed,FUZZY,True,NONE
Physical,height,Dataset_T-ITS_Seg2_Physical,height,EXACT,False,NONE
Physical,battery,Dataset_T-ITS_Seg2_Physical,battery,EXACT,False,NONE
Physical,barometer,Dataset_T-ITS_Seg2_Physical,barometer,EXACT,False,NONE
Physical,flight_time,Dataset_T-ITS_Seg2_Physical,flight_time,EXACT,False,NONE
Physical,temperature,Dataset_T-ITS_Seg2_Physical,temperature,EXACT,False,NONE
Physical,distance,Dataset_T-ITS_Seg2_Physical,distance,EXACT,False,NONE
Physical,speed_norm,Dataset_T-ITS_Seg2_Physical,"DERIVED(vx,vy,vz)",DERIVED,False,NONE
Physical,speed_horizontal,Dataset_T-ITS_Seg2_Physical,"DERIVED(vx,vy)",DERIVED,False,NONE
Physical,angular_speed_norm,Dataset_T-ITS_Seg2_Physical,"DERIVED(pitch,roll,yaw)",DERIVED,False,NONE
Physical,kinetic_energy_z_proxy,Dataset_T-ITS_Seg2_Physical,DERIVED(vz),DERIVED,False,NONE
Physical,accel_x,Dataset_T-ITS_Seg2_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_y,Dataset_T-ITS_Seg2_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_z,Dataset_T-ITS_Seg2_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,pitch,Dataset_T-ITS_Seg4_Physical,pitch,EXACT,False,NONE
Physical,roll,Dataset_T-ITS_Seg4_Physical,roll,EXACT,False,NONE
Physical,yaw,Dataset_T-ITS_Seg4_Physical,yaw,EXACT,False,NONE
Physical,velocity_x,Dataset_T-ITS_Seg4_Physical,x_speed,FUZZY,True,NONE
Physical,velocity_y,Dataset_T-ITS_Seg4_Physical,y_speed,FUZZY,True,NONE
Physical,velocity_z,Dataset_T-ITS_Seg4_Physical,z_speed,FUZZY,True,NONE
Physical,height,Dataset_T-ITS_Seg4_Physical,height,EXACT,False,NONE
Physical,battery,Dataset_T-ITS_Seg4_Physical,battery,EXACT,False,NONE
Physical,barometer,Dataset_T-ITS_Seg4_Physical,barometer,EXACT,False,NONE
Physical,flight_time,Dataset_T-ITS_Seg4_Physical,flight_time,EXACT,False,NONE
Physical,temperature,Dataset_T-ITS_Seg4_Physical,temperature,EXACT,False,NONE
Physical,distance,Dataset_T-ITS_Seg4_Physical,distance,EXACT,False,NONE
Physical,speed_norm,Dataset_T-ITS_Seg4_Physical,"DERIVED(vx,vy,vz)",DERIVED,False,NONE
Physical,speed_horizontal,Dataset_T-ITS_Seg4_Physical,"DERIVED(vx,vy)",DERIVED,False,NONE
Physical,angular_speed_norm,Dataset_T-ITS_Seg4_Physical,"DERIVED(pitch,roll,yaw)",DERIVED,False,NONE
Physical,kinetic_energy_z_proxy,Dataset_T-ITS_Seg4_Physical,DERIVED(vz),DERIVED,False,NONE
Physical,accel_x,Dataset_T-ITS_Seg4_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_y,Dataset_T-ITS_Seg4_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_z,Dataset_T-ITS_Seg4_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,pitch,Dataset_T-ITS_Seg6_Physical,pitch,EXACT,False,NONE
Physical,roll,Dataset_T-ITS_Seg6_Physical,roll,EXACT,False,NONE
Physical,yaw,Dataset_T-ITS_Seg6_Physical,yaw,EXACT,False,NONE
Physical,velocity_x,Dataset_T-ITS_Seg6_Physical,x_speed,FUZZY,True,NONE
Physical,velocity_y,Dataset_T-ITS_Seg6_Physical,y_speed,FUZZY,True,NONE
Physical,velocity_z,Dataset_T-ITS_Seg6_Physical,z_speed,FUZZY,True,NONE
Physical,height,Dataset_T-ITS_Seg6_Physical,height,EXACT,False,NONE
Physical,battery,Dataset_T-ITS_Seg6_Physical,battery,EXACT,False,NONE
Physical,barometer,Dataset_T-ITS_Seg6_Physical,barometer,EXACT,False,NONE
Physical,flight_time,Dataset_T-ITS_Seg6_Physical,flight_time,EXACT,False,NONE
Physical,temperature,Dataset_T-ITS_Seg6_Physical,temperature,EXACT,False,NONE
Physical,distance,Dataset_T-ITS_Seg6_Physical,distance,EXACT,False,NONE
Physical,speed_norm,Dataset_T-ITS_Seg6_Physical,"DERIVED(vx,vy,vz)",DERIVED,False,NONE
Physical,speed_horizontal,Dataset_T-ITS_Seg6_Physical,"DERIVED(vx,vy)",DERIVED,False,NONE
Physical,angular_speed_norm,Dataset_T-ITS_Seg6_Physical,"DERIVED(pitch,roll,yaw)",DERIVED,False,NONE
Physical,kinetic_energy_z_proxy,Dataset_T-ITS_Seg6_Physical,DERIVED(vz),DERIVED,False,NONE
Physical,accel_x,Dataset_T-ITS_Seg6_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_y,Dataset_T-ITS_Seg6_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,accel_z,Dataset_T-ITS_Seg6_Physical,N/A,MISSING,False,LEFT_AS_NAN
Physical,pitch,Dataset_T-ITS_Seg8_Physical,pitch,EXACT,False,NONE
Physical,roll,Dataset_T-ITS_Seg8_Physical,roll,EXACT,False,NONE
Physical,yaw,Dataset_T-ITS_Seg8_Physical,yaw,EXACT,False,NONE
Physical,velocity_x,Dataset_T-ITS_Seg8_Physical,vgx,EXACT,False,NONE
Physical,velocity_y,Dataset_T-ITS_Seg8_Physical,vgy,EXACT,False,NONE
Physical,velocity_z,Dataset_T-ITS_Seg8_Physical,vgz,EXACT,False,NONE
Physical,height,Dataset_T-ITS_Seg8_Physical,h,EXACT,False,NONE
Physical,battery,Dataset_T-ITS_Seg8_Physical,bat,FUZZY,True,NONE
Physical,barometer,Dataset_T-ITS_Seg8_Physical,baro,FUZZY,True,NONE
Physical,flight_time,Dataset_T-ITS_Seg8_Physical,time,FUZZY,True,NONE
Physical,temperature,Dataset_T-ITS_Seg8_Physical,templ+temph,FUZZY,True,NONE
Physical,distance,Dataset_T-ITS_Seg8_Physical,tof,FUZZY,True,NONE
Physical,speed_norm,Dataset_T-ITS_Seg8_Physical,"DERIVED(vx,vy,vz)",DERIVED,False,NONE
Physical,speed_horizontal,Dataset_T-ITS_Seg8_Physical,"DERIVED(vx,vy)",DERIVED,False,NONE
Physical,angular_speed_norm,Dataset_T-ITS_Seg8_Physical,"DERIVED(pitch,roll,yaw)",DERIVED,False,NONE
Physical,kinetic_energy_z_proxy,Dataset_T-ITS_Seg8_Physical,DERIVED(vz),DERIVED,False,NONE
Physical,accel_x,Dataset_T-ITS_Seg8_Physical,agx,EXACT,False,NONE
